Simulation (exp. id, measurement  id);6;995
beta;coupling_constant;dimension;init_temp;length;number_of_sweeps;q
1.00505;1;2;1;8;136072;3

0
0

C;E;t
0;0;0
1;-90;1
4;-96;2
1;-96;3
3;-100;4
1;-106;5
4;-110;6
3;-120;7
2;-120;8
5;-114;9
7;-122;10
2;-126;11
15;-140;12
29;-166;13
20;-168;14
30;-188;15
23;-172;16
25;-196;17
51;-202;18
49;-194;19
52;-216;20
53;-204;21
51;-204;22
4;-188;23
1;-188;24
23;-154;25
22;-156;26
1;-152;27
20;-166;28
46;-188;29
1;-188;30
48;-200;31
1;-202;32
52;-208;33
56;-236;34
2;-248;35
62;-248;36
58;-228;37
58;-222;38
56;-212;39
53;-220;40
1;-220;41
55;-232;42
59;-232;43
55;-212;44
56;-220;45
58;-248;46
1;-256;47
64;-256;48
64;-256;49
64;-256;50
63;-248;51
62;-248;52
62;-248;53
62;-248;54
60;-232;55
60;-224;56
56;-202;57
56;-216;58
54;-216;59
58;-224;60
55;-232;61
1;-228;62
60;-248;63
56;-220;64
56;-248;65
59;-228;66
55;-198;67
1;-198;68
52;-214;69
1;-222;70
58;-228;71
56;-232;72
52;-200;73
4;-208;74
46;-174;75
40;-184;76
48;-196;77
49;-210;78
2;-208;79
54;-222;80
56;-216;81
45;-192;82
39;-204;83
48;-200;84
49;-208;85
2;-220;86
54;-212;87
51;-200;88
24;-180;89
5;-182;90
29;-192;91
53;-218;92
58;-224;93
57;-240;94
56;-228;95
56;-240;96
61;-232;97
55;-216;98
54;-228;99
60;-240;100
62;-240;101
57;-228;102
58;-222;103
2;-234;104
2;-242;105
58;-226;106
59;-232;107
59;-248;108
57;-222;109
51;-198;110
47;-194;111
42;-190;112
44;-180;113
3;-166;114
43;-172;115
5;-188;116
44;-178;117
1;-176;118
40;-178;119
1;-172;120
1;-178;121
43;-188;122
46;-204;123
1;-204;124
52;-202;125
52;-202;126
52;-196;127
53;-228;128
55;-216;129
57;-218;130
2;-218;131
2;-206;132
1;-210;133
57;-228;134
58;-240;135
59;-222;136
43;-194;137
42;-220;138
56;-220;139
52;-204;140
52;-202;141
53;-228;142
54;-220;143
4;-236;144
59;-236;145
55;-214;146
55;-218;147
55;-216;148
55;-218;149
51;-220;150
54;-208;151
50;-210;152
56;-236;153
58;-222;154
2;-220;155
50;-208;156
52;-224;157
55;-224;158
57;-240;159
56;-224;160
5;-220;161
55;-214;162
49;-212;163
55;-244;164
57;-220;165
55;-190;166
2;-192;167
47;-182;168
46;-196;169
51;-220;170
55;-204;171
1;-204;172
52;-206;173
57;-232;174
60;-248;175
58;-220;176
58;-212;177
57;-240;178
62;-248;179
60;-240;180
61;-240;181
60;-232;182
60;-240;183
59;-228;184
57;-226;185
50;-204;186
32;-178;187
24;-160;188
11;-152;189
23;-152;190
31;-166;191
8;-174;192
1;-168;193
23;-178;194
21;-154;195
16;-160;196
11;-156;197
4;-154;198
8;-162;199
17;-190;200
3;-182;201
45;-180;202
49;-228;203
59;-248;204
63;-248;205
62;-240;206
60;-232;207
52;-192;208
25;-152;209
4;-150;210
1;-152;211
8;-164;212
3;-174;213
1;-174;214
1;-178;215
29;-174;216
1;-170;217
4;-170;218
7;-172;219
33;-196;220
48;-212;221
54;-222;222
2;-218;223
56;-232;224
61;-248;225
46;-212;226
44;-196;227
42;-198;228
41;-222;229
51;-194;230
50;-212;231
1;-218;232
54;-228;233
57;-212;234
49;-182;235
1;-174;236
48;-204;237
47;-204;238
7;-206;239
2;-208;240
47;-192;241
48;-212;242
26;-174;243
18;-190;244
33;-184;245
36;-186;246
